rank,experience_id,psi_value,n_marginals,content
18,G3,0.017778,9,"Query refinement: Systematically incorporate discovered official terminology, acronyms, institutional names, and descriptive cues from authoritative sources early to progressively narrow search scope, prioritize direct inspection of promising sources, and immediately use official terminology in subsequent queries for improved precision and reduced iterations."
19,G9,0.006667,9,"Candidate verification: Immediately verify promising results and candidate names against requirements using direct source interrogation, then pivot to authoritative sources for systematic verification including publisher attribution."
20,G36,0.005000,8,"Uniqueness verification: When verifying document uniqueness across multiple years, systematically compare content types and accessibility patterns across historical ranges, examining exclusive document types, unique publication years, and special accessibility features."
21,G26,0.002500,8,"National academic sources: For academic discipline questions in specific national contexts, prioritize official government disciplinary frameworks to establish authoritative classification structure, then supplement with university programs for practical scope integration."
22,G0,0.002222,9,"Verification methods: Implement multiple independent approaches for complex problems and reconcile results to ensure accuracy."
23,G5,0.000000,6,"Regional synthesis: For global companies, prioritize the main corporate domain (.com) as authoritative source and cross-reference naming conventions across regional domains to establish comprehensive understanding rather than treating variations as separate systems."
24,G30,0.000000,9,"Uniqueness verification: When identifying proprietary content series or unique elements, systematically verify publisher attribution across multiple authoritative sources and investigate editorial arrangements, impact metrics, and institutional affiliations to establish uniqueness."
25,G14,0.000000,5,"URL pattern analysis: Analyze website URL structures, document metadata, and hierarchical organization including 'About' pages to identify content sections, navigate from overviews to details, and clarify ambiguous terminology before specific content searches."
26,G17,-0.000000,5,"Title verification: Always verify complete official publication titles from authoritative sources and cross-verify naming variants for consistency, comparing related documents to ensure alignment with specific requirements."
27,G12,-0.002500,8,"Paywall bypass: When primary sources are paywalled, immediately pivot to search for secondary citations from reputable industry partners and publications that reference target data, as they often provide complete datasets without access restrictions."
28,G2,-0.002857,7,"Token management: For large documents, use targeted searches for specific sections instead of direct querying."
29,G44,-0.005714,7,"Authorship verification: When encountering ambiguous or shared responsibilities in authorship statements, systematically check multiple document sections to identify primary responsibility and cross-verify across sources before finalizing conclusions."
30,G38,-0.006667,6,"Platform comparison: When initial searches identify multiple candidate platforms, immediately conduct comparative analysis of their stated purposes and organizational structures to determine the best match for requirements rather than investigating candidates in isolation."
31,G16,-0.007500,8,"Document verification: Systematically verify each document's specific role, purpose, and hierarchy through direct inspection and cross-referencing multiple authoritative sources to establish clear relationships and ensure alignment with requirements."
32,G32,-0.007500,8,"Source adaptation: When primary sources specified in queries repeatedly lack required data, immediately pivot to authoritative alternative sources and systematically check all promising secondary sources regardless of search position."
33,G45,-0.010000,8,"Organizational report search: For queries targeting specific organizational reports, prioritize searching within the organization's publication ecosystem and systematically examine multiple reports from the same source for complementary data elements."
34,G24,-0.013333,6,"Frequency analysis: Prioritize verification of high-frequency information in search results as potential key clues."
35,G25,-0.013333,9,"Disciplinary resolution: When encountering conflicting or distributed disciplinary classifications, immediately pivot search strategies to identify integrative sub-disciplines or applied research areas that bridge domains, using official disciplinary frameworks as primary authority."
36,G27,-0.017143,7,"Detail granularity: Systematically compare information granularity across candidates early using quantitative metrics to identify comprehensive coverage, explicitly evaluating specific information that makes cases stand out in terms of amount, scope, and rationale completeness."
37,G23,-0.020000,7,"Policy timeframe search: For policy recommendations within specific timeframes, prioritize official UN documentation and consultation reports as primary authoritative sources."
38,G20,-0.022222,9,"Conflict resolution: Cross-verify conflicting claims across multiple authoritative primary sources immediately, systematically compare publication dates and versions, prioritize the most current official source for numerical data, establish growth timelines, and explicitly resolve discrepancies through targeted searches for clarification."
39,G35,-0.025714,7,"Financial timeline: For time-sensitive financial information, prioritize currency verification using date-based queries, check most recent authoritative sources first, then work backward to establish complete sequence timelines."
40,G11,-0.028000,10,"Source pivoting: Use secondary sources to locate primary authoritative documents when direct search fails, immediately verifying citations and cross-referencing across multiple sources to ensure comprehensive coverage."
41,G28,-0.040000,8,"Publisher navigation: For academic publications, navigate directly to publisher subject category pages for authoritative, comprehensive lists."
42,G42,-0.042500,8,"Academic candidate verification: When identifying academic literature, systematically verify all task requirements (article type, journal indexing, title uniqueness) for each candidate before detailed metadata extraction to prevent wasted effort on irrelevant articles."
43,G41,-0.052000,5,"Bidirectional verification: When discovering key clues, immediately establish complete verification chains with both forward and backward verification to ensure logical closure."
44,G34,-0.056000,5,"Source misattribution: When search results show content-source mismatches, immediately pivot to the actual publisher and document attribution errors to refine search strategy."
45,G29,-0.060000,7,"Claim prioritization: When verifying specific article claims, prioritize extracting the requested information first before attempting broader discrepancy resolution."
46,G10,-0.076667,6,"Systematic searching: Progress from broad categories to specific terminology using multiple iterations, establish publication series status and timelines early, and analyze URL patterns and publication formats of authoritative sources."
